Name,Objective,Service
1.1 SNS Automated Drone Campaign 1,Winback,Cash In
2.1 SNS Automated Drone Campaign 2,Winback,Mobile Recharge
3.1 SNS Automated Drone Campaign 3,Winback,Bill Payment
4.1 SNS Automated Drone Campaign 4,Winback,P2P Send
5.1 SNS Automated Drone Campaign 5,Winback,CashOut
6.1 SNS Automated Drone Campaign 6,Winback,Payment
7.1 SNS Automated Drone Campaign 7,Retention,Cash In
8.1 SNS Automated Drone Campaign 8,Retention,Mobile Recharge
9.1 SNS Automated Drone Campaign 9,Retention,Bill Payment
10.1 SNS Automated Drone Campaign 10,Retention,P2P Send
11.1 SNS Automated Drone Campaign 11,Retention,CashOut
12.1 SNS Automated Drone Campaign 12,Retention,Payment
